codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
82042,11,Barcelona,Baix Llobregat,Sant Boi de Llobregat,Sant Climent de Llobregat,4107,2074,1645,100,38,No,1,el Consell Comarcal,8.92,9,7.5,8,33.3
170157,28,Girona,Pla de l'Estany,Girona,Banyoles,19615,9741,8151,497,187,Banyoles,1,el Consell Comarcal,8.87,44,7.28,36,54.1
171371,28,Girona,Pla de l'Estany,Girona,Porqueres,4595,2281,1911,117,44,No,1,el Consell Comarcal,8.87,10,7.28,8,54.1
170561,28,Girona,Pla de l'Estany,Girona,Cornellà del Terri,2322,1182,961,59,22,No,1,el Consell Comarcal,8.87,5,7.28,4,54.1
170715,28,Girona,Pla de l'Estany,Girona,Fontcoberta,1474,733,621,38,14,No,1,el Consell Comarcal,8.87,3,7.28,3,54.1
171903,28,Girona,Pla de l'Estany,Girona,Serinyà,1108,570,449,27,10,No,1,el Consell Comarcal,8.87,2,7.28,2,54.1
172180,28,Girona,Pla de l'Estany,Girona,Vilademuls,823,432,323,20,7,No,1,el Consell Comarcal,8.87,2,7.28,1,54.1
170353,28,Girona,Pla de l'Estany,Girona,Camós,690,347,298,18,7,No,1,el Consell Comarcal,8.87,2,7.28,1,54.1
171236,28,Girona,Pla de l'Estany,Girona,Palol de Revardit,467,229,199,12,5,No,1,el Consell Comarcal,8.87,1,7.28,1,54.1
170656,28,Girona,Pla de l'Estany,Girona,Esponellà,433,222,175,11,4,No,1,el Consell Comarcal,8.87,1,7.28,1,54.1
170583,28,Girona,Pla de l'Estany,Girona,Crespià,251,130,103,6,2,No,1,el Consell Comarcal,8.87,1,7.28,0,54.1
171740,28,Girona,Pla de l'Estany,Girona,Sant Miquel de Campmajor,228,120,89,5,2,No,1,el Consell Comarcal,8.87,0,7.28,0,54.1
170792,20,Girona,Gironès,Girona,Girona,100266,48030,43987,2683,1012,Girona,3,"l'Ajuntament, el Consell Comarcal i la Generalitat",8.87,238,5.11,137,46.5
171557,20,Girona,Gironès,Girona,Salt,30622,16048,11551,705,266,No,1,el Consell Comarcal,8.87,63,5.11,36,46.5
